,Model,y transform,x transform,LED,r2 train,mae train,r2 test,mae test
3400,Kernel Ridge,Exponential,None,505 nm LED,-0.7206135125496003,0.056145494824520824,-1.422222334193655,0.061547135755316215
3401,Kernel Ridge,Exponential,Exponential,505 nm LED,-624205.6265848699,41.096954005144156,-722788.0822725849,40.171527817586075
3402,Kernel Ridge,Exponential,Logarithm,505 nm LED,0.46394008564754907,0.030744886171895323,0.25420695387747544,0.03308506121793162
3403,Kernel Ridge,Logarithm,None,505 nm LED,0.5422987484362176,0.02761128649344139,0.37765947994908716,0.029700550304796913
3404,Kernel Ridge,Logarithm,Exponential,505 nm LED,-244.33670864630363,0.8631215125918426,-292.9502247791608,0.8662998394061437
3405,Kernel Ridge,Logarithm,Logarithm,505 nm LED,0.49519769353506526,0.031127252450332713,0.29659080576222274,0.03468592149433167
3406,Kernel Ridge,Reciprocol,None,505 nm LED,-2.1037550061894295,0.03817393942979287,-1.2589501330911137,0.04302431231749679
3407,Kernel Ridge,Reciprocol,Exponential,505 nm LED,-1.400687322918155e+64,8.534702350947668e+29,-1.9088718574793498e+64,8.577020108845993e+29
3408,Kernel Ridge,Reciprocol,Logarithm,505 nm LED,0.3574476694623575,0.032905583524626435,0.19067400416247646,0.035632067359837816
3409,PLS 1-component,None,None,525 nm LED,0.6410255118758119,0.025310076194267762,0.41570732971858304,0.02970585044088502
3410,PLS 1-component,None,Exponential,525 nm LED,0.053843541897539704,0.045446514458117655,-3778101.1744545363,16.083206987601333
3411,PLS 1-component,None,Logarithm,525 nm LED,0.6658691144024687,0.02407263309850421,0.4586086902933519,0.028751478917627877
3412,PLS 1-component,Exponential,None,525 nm LED,0.6430658138681569,0.025469820513923314,0.4216869016225062,0.0299001279206768
3413,PLS 1-component,Exponential,Logarithm,525 nm LED,0.6659932842558933,0.024337368668472546,0.46187504794203915,0.02892792448016863
3414,PLS 1-component,Logarithm,None,525 nm LED,0.5438020688498679,0.02576252651455914,0.22839202016762122,0.030009584711316567
3415,PLS 1-component,Logarithm,Logarithm,525 nm LED,0.602651414537284,0.023916014784180775,0.33112693038675534,0.028737838489282637
3416,PLS 1-component,Reciprocol,None,525 nm LED,-11.93741716383467,0.05516920596343703,-34.104853027637894,0.06666408333097322
3417,PLS 1-component,Reciprocol,Exponential,525 nm LED,-0.21983647418524077,0.048908355068373946,-0.8338965766207009,0.05688688838442178
3418,PLS 1-component,Reciprocol,Logarithm,525 nm LED,-84.74172864391238,0.09326781799728052,-14.548946216668663,0.05304966672970588
3419,PLS 2-component,None,None,525 nm LED,0.6904367744426387,0.02333191836865961,0.5219689479679056,0.026525878951732244
3420,PLS 2-component,None,Exponential,525 nm LED,0.05858824634589965,0.044749611828217725,-2518177.551691774,11.750892952312077
3421,PLS 2-component,None,Logarithm,525 nm LED,0.7093102475853752,0.02199188111928067,0.5504206888018507,0.024977973213962806
3422,PLS 2-component,Exponential,None,525 nm LED,0.6848446396454002,0.023815849647001005,0.5152992695886324,0.02691640171352718
3423,PLS 2-component,Exponential,Logarithm,525 nm LED,0.7044465278865014,0.02239137785025106,0.5434934249609619,0.02535307364913919
3424,PLS 2-component,Logarithm,None,525 nm LED,0.7077181373080628,0.020420510207939464,0.5179405604783907,0.024694495005999337
3425,PLS 2-component,Logarithm,Logarithm,525 nm LED,0.7208410459495467,0.019471692111106383,0.5491060445614561,0.02326630618751051
3426,PLS 2-component,Reciprocol,None,525 nm LED,0.45347134975937153,0.025485149849570662,-0.6737219229408716,0.034583558280899776
3427,PLS 2-component,Reciprocol,Exponential,525 nm LED,-0.1925639866434954,0.04734874855511974,-0.8755363731624307,0.05709275509286227
3428,PLS 2-component,Reciprocol,Logarithm,525 nm LED,0.3525625397886464,0.02768273747680253,-0.2618753818475396,0.035311742816012
3429,PLS 3-component,None,None,525 nm LED,0.6959288739466438,0.02318636813216726,0.521650848791228,0.027417165261907062
3430,PLS 3-component,None,Exponential,525 nm LED,0.05859087121660844,0.044736882069679546,-2099669.0766230244,11.045296653610698
3431,PLS 3-component,None,Logarithm,525 nm LED,0.7161042516956738,0.021950849233626904,0.5645006714521404,0.025547953885739428
3432,PLS 3-component,Exponential,None,525 nm LED,0.690157822860556,0.02360518433531679,0.5120087134676842,0.027937920237682358
3433,PLS 3-component,Exponential,Logarithm,525 nm LED,0.7101786426533863,0.022401551575271496,0.553622645590632,0.02607459777799332
3434,PLS 3-component,Logarithm,None,525 nm LED,0.7077530612480273,0.02066157531455593,0.515708123867675,0.0249030820988296
3435,PLS 3-component,Logarithm,Logarithm,525 nm LED,0.7266706199186466,0.01924572605187393,0.571983201962154,0.02294743239623797
3436,PLS 3-component,Reciprocol,None,525 nm LED,0.2907108026622264,0.028142409344094545,-1.1463126898132432,0.03681582090311186
3437,PLS 3-component,Reciprocol,Exponential,525 nm LED,-0.1922699525530942,0.047320427120026674,-0.8677359893352431,0.05705294745660422
3438,PLS 3-component,Reciprocol,Logarithm,525 nm LED,0.28103422370741604,0.028548039012241934,-0.2564428917622205,0.03392391361552012
3439,PLS 4-component,None,None,525 nm LED,0.7088104372627617,0.02253999729824565,0.5333642391182799,0.02642070655133154
3440,PLS 4-component,None,Exponential,525 nm LED,0.058591130497899324,0.04473325573599229,-518910753285.15643,6241.071443027785
3441,PLS 4-component,None,Logarithm,525 nm LED,0.7224784627934202,0.021969619006507773,0.5649667685208308,0.0254452166347984
3442,PLS 4-component,Exponential,None,525 nm LED,0.7030095229298048,0.022893251827329555,0.519990509641758,0.026991901288886032
3443,PLS 4-component,Exponential,Logarithm,525 nm LED,0.7157871810896586,0.02239715705848774,0.5516811566515138,0.026020120474675484
3444,PLS 4-component,Logarithm,None,525 nm LED,0.7226005924569348,0.020739993631653856,0.530580471547837,0.024675277333557715
3445,PLS 4-component,Logarithm,Logarithm,525 nm LED,0.7359467695608788,0.019570824932934622,0.5704710507381611,0.023135727836757006
3446,PLS 4-component,Reciprocol,None,525 nm LED,0.3878288524358823,0.026151010377810424,-0.3031768374766564,0.03318342216921093
3447,PLS 4-component,Reciprocol,Exponential,525 nm LED,-0.19223178186155354,0.04731727399862214,-12.870480716122803,0.08131459100491892
3448,PLS 4-component,Reciprocol,Logarithm,525 nm LED,0.29479673736935563,0.02739072659321027,-0.2223487153898053,0.03264515382758663
3449,Lasso alpha 5,None,None,525 nm LED,0.0,0.04790743224222222,-0.1964776149303126,0.04888002784236111
